diagprint-axum dependency provenance
mode=async
columns=name|version|source|checksum|features
android_system_properties|0.1.6|registry+https://github.com/rust-lang/crates.io-index|ae221649c9976a6f6c56ae1facf410f3ddb33cc661c4b7b61020a912d4237fbc|
autocfg|1.5.1|registry+https://github.com/rust-lang/crates.io-index|f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53|
axum|0.8.9|registry+https://github.com/rust-lang/crates.io-index|31b698c5f9a010f6573133b09e0de5408834d0c82f8d7475a89fc1867a71cd90|form,json,matched-path,query
axum-core|0.5.6|registry+https://github.com/rust-lang/crates.io-index|08c78f31d7b1291f7ee735c1c6780ccde7785daae9a9206026862dab7d8792d1|
bitflags|2.13.2|registry+https://github.com/rust-lang/crates.io-index|3ded4057c258ba199e2d26386d3af3780957ecaee6c4ef4041c6b4b8b97c0b06|std
block-buffer|0.10.4|registry+https://github.com/rust-lang/crates.io-index|3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71|
bumpalo|3.20.3|registry+https://github.com/rust-lang/crates.io-index|72f5acc6cb2ba439de613abc23857ec3d78374d8ed5ac84e9d11336e87da8649|default
bytes|1.12.1|registry+https://github.com/rust-lang/crates.io-index|fc652a48c352aef3ea3aed32080501cf3ef6ed5da78602a020c991775b0aff04|default,std
cc|1.4.6|registry+https://github.com/rust-lang/crates.io-index|a3eb0f42d6c360dc3f8a821f6bf2fdea7f72bfd36b3076eb0e6d1e9e0752fff4|
cfg-if|1.0.4|registry+https://github.com/rust-lang/crates.io-index|9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801|
chrono|0.4.45|registry+https://github.com/rust-lang/crates.io-index|1aa79e62e7697b8e29b513a68abacf485adcd1fe8284a4316c5ae868e6633327|alloc,clock,default,iana-time-zone,js-sys,now,oldtime,serde,std,wasm-bindgen,wasmbind,winapi,windows-link
core-foundation-sys|0.8.7|registry+https://github.com/rust-lang/crates.io-index|773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b|default,link
cpufeatures|0.2.17|registry+https://github.com/rust-lang/crates.io-index|59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280|
crypto-common|0.1.7|registry+https://github.com/rust-lang/crates.io-index|78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a|std
diagprint|0.7.1|path:.|-|default
diagprint-async|0.7.0|path:crates/diagprint-async|-|
diagprint-axum|0.8.2|path:crates/diagprint-axum|-|async-delivery
digest|0.10.7|registry+https://github.com/rust-lang/crates.io-index|9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292|alloc,block-buffer,core-api,default,std
equivalent|1.0.2|registry+https://github.com/rust-lang/crates.io-index|877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f|
errno|0.3.14|registry+https://github.com/rust-lang/crates.io-index|39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb|std
find-msvc-tools|0.1.12|registry+https://github.com/rust-lang/crates.io-index|3e0f1c7c3a72c66fd80abe965175f7523475c0489a87d3ff9d6e8c87d87a9d2d|
form_urlencoded|1.2.2|registry+https://github.com/rust-lang/crates.io-index|cb4cb245038516f5f85277875cdaa4f7d2c9a0fa0468de06ed190163b1581fcf|alloc,default,std
futures-core|0.3.34|registry+https://github.com/rust-lang/crates.io-index|92d699e522242e69e3003b94ecc1f960f3a5e015aa7c5d7486e65ad01dd94f5e|alloc,default,std
futures-task|0.3.34|registry+https://github.com/rust-lang/crates.io-index|cd417de3d1d015fc3bfd2b1ea46dfc7bab72ef86f1cc7cc9c78e728b34a6d1fd|alloc,std
futures-util|0.3.34|registry+https://github.com/rust-lang/crates.io-index|0d50a92467f8ba5dd6e3ee5d4bd04d73ab2e4e1c44474a0674821dfce14b79bc|alloc,slab,std
generic-array|0.14.7|registry+https://github.com/rust-lang/crates.io-index|85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a|more_lengths
getrandom|0.4.3|registry+https://github.com/rust-lang/crates.io-index|300e883d756b2e4ec94e02791f39b04b522276138852cfc41d9fb7e904106099|
hashbrown|0.17.1|registry+https://github.com/rust-lang/crates.io-index|ed5909b6e89a2db4456e54cd5f673791d7eca6732202bbf2a9cc504fe2f9b84a|
hostname|0.4.2|registry+https://github.com/rust-lang/crates.io-index|617aaa3557aef3810a6369d0a99fac8a080891b68bd9f9812a1eeda0c0730cbd|default
http|1.5.0|registry+https://github.com/rust-lang/crates.io-index|918d3568bebf352712bc2ef3d46a8bcf1a75b373be6539de198e9105cbbf9ce0|default,std
http-body|1.1.0|registry+https://github.com/rust-lang/crates.io-index|ca2a8f2913ee65f60facd6a5905613afaa448497a0230cc41ce022d93290bc2c|
http-body-util|0.1.5|registry+https://github.com/rust-lang/crates.io-index|23169fe34a5fbcdd3f3862e78fb9b6fccd5f02a6dc6f732547005d45631ce71c|default
iana-time-zone|0.1.65|registry+https://github.com/rust-lang/crates.io-index|e31bc9ad994ba00e440a8aa5c9ef0ec67d5cb5e5cb0cc7f8b744a35b389cc470|fallback
iana-time-zone-haiku|0.1.2|registry+https://github.com/rust-lang/crates.io-index|f31827a206f56af32e590ba56d5d2d085f558508192593743f16b2306495269f|
indexmap|2.14.2|registry+https://github.com/rust-lang/crates.io-index|cc4e190f5d26ca7051642629da2c52fc03bde85a03197c99408dcd291734c855|std
itoa|1.0.18|registry+https://github.com/rust-lang/crates.io-index|8f42a60cbdf9a97f5d2305f08a87dc4e09308d1276d28c869c684d7777685682|
js-sys|0.3.105|registry+https://github.com/rust-lang/crates.io-index|ce57d20d1ea864ce2ac172ab472d409214f4fd359f0b2a2775abdf522e2af99e|default,std,unsafe-eval
libc|0.2.189|registry+https://github.com/rust-lang/crates.io-index|3eaf3ede3fee6db1a4c2ee091bf8a8b4dccdc6d17f656fb07896ee72867612f2|default,std
linux-raw-sys|0.12.1|registry+https://github.com/rust-lang/crates.io-index|32a66949e030da00e8c7d4434b251670a91556f4144941d37452769c25d58a53|auxvec,elf,errno,general,ioctl,no_std
log|0.4.34|registry+https://github.com/rust-lang/crates.io-index|f9f8bd3e56ce4dfc153cf470fffbfa98c7620958b312ca5c3a4b8d5181fd13c6|
matchit|0.8.4|registry+https://github.com/rust-lang/crates.io-index|47e1ffaa40ddd1f3ed91f717a33c8c0ee23fff369e3aa8772b9605cc1d22f4c3|default
memchr|2.8.3|registry+https://github.com/rust-lang/crates.io-index|cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98|alloc,default,std
mime|0.3.17|registry+https://github.com/rust-lang/crates.io-index|6877bb514081ee2a7ff5ef9de3281f14a4dd4bceac4c09388074a6b5df8a139a|
num-traits|0.2.19|registry+https://github.com/rust-lang/crates.io-index|071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841|std
once_cell|1.21.4|registry+https://github.com/rust-lang/crates.io-index|9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50|alloc,default,race,std
percent-encoding|2.3.2|registry+https://github.com/rust-lang/crates.io-index|9b4f627cb1b25917193a259e49bdad08f671f8d9708acfd5fe0a8c1455d87220|alloc,default,std
pin-project-lite|0.2.17|registry+https://github.com/rust-lang/crates.io-index|a89322df9ebe1c1578d689c92318e070967d1042b512afbe49518723f4e6d5cd|
proc-macro2|1.0.107|registry+https://github.com/rust-lang/crates.io-index|985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9|default,proc-macro
quote|1.0.47|registry+https://github.com/rust-lang/crates.io-index|1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001|default,proc-macro
r-efi|6.0.0|registry+https://github.com/rust-lang/crates.io-index|f8dcc9c7d52a811697d2151c701e0d08956f92b0e24136cf4cf27b57a6a0d9bf|
rustix|1.1.4|registry+https://github.com/rust-lang/crates.io-index|b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190|alloc,default,std,termios
rustversion|1.0.23|registry+https://github.com/rust-lang/crates.io-index|cf54715a573b99ac80df0bc206da022bcd442c974952c7b9720069370852e21f|
ryu|1.0.23|registry+https://github.com/rust-lang/crates.io-index|9774ba4a74de5f7b1c1451ed6cd5285a32eddb5cccb8cc655a4e50009e06477f|
